Beef,Dairy,Exit,Exit_P,Fadult,Female,G,M,Male,NG,N_bred_B,N_bred_D,N_fat,N_juv_B,N_juv_D,OFbirth,OJ,P,P0,P1,P2,P3,P4,P5,P_bred_B,P_bred_D,P_fat,P_juv_B,P_juv_D,P_neighbour_Fadult_Beef,P_neighbour_Fadult_Dairy,P_neighbour_G_Beef,P_neighbour_G_Dairy,P_neighbour_NG_Beef,P_neighbour_NG_Dairy,P_neighbour_OFbirth_Beef,P_neighbour_OFbirth_Dairy,P_neighbour_OJ_Beef,P_neighbour_OJ_Dairy,P_neighbour_YFbirth_Beef,P_neighbour_YFbirth_Dairy,P_neighbour_YJ_Beef,P_neighbour_YJ_Dairy,P_neighbour_pasture,P_neighbour_total,R,S,T,T_bred_B,T_bred_D,T_fat,T_juv_B,T_juv_D,YFbirth,YJ,cum_A,cum_G,cum_P,cum_T,cumul_T_bred_Beef,cumul_T_bred_Dairy,cumul_T_fat_Beef,cumul_T_fat_Dairy,day_herd_infected,nb_Mother_of_Pcalf_Beef,nb_Mother_of_Pcalf_Dairy,nb_P_bred_Beef,nb_P_bred_Dairy,nb_P_fat_Beef,nb_P_fat_Dairy,nb_P_purchase,nb_T_Fbirth_Beef,nb_T_Fbirth_Dairy,nb_T_J_Beef,nb_T_J_Dairy,nb_T_bred_Beef,nb_T_bred_Dairy,nb_T_fat_Beef,nb_T_fat_Dairy,nb_T_purchase,nb_animals_purchased_outside_metapop,nb_animals_purchased_within_metapop,nb_bred_Beef,nb_bred_Dairy,nb_fat_Beef,nb_fat_Dairy,nb_geographic_neighbours_ext,nb_infected_geographic_neighbours_ext,nb_infected_geographic_neighbours_metapop,nb_infected_purchase_ext,nb_infected_purchase_metapop,nb_infected_within_herd,nb_mother_Pcalf_purchase,run,step,total_Fadult_Beef,total_Fadult_Dairy,total_G_Beef,total_G_Dairy,total_NG_Beef,total_NG_Dairy,total_OFbirth_Beef,total_OFbirth_Dairy,total_OJ_Beef,total_OJ_Dairy,total_P_Fadult_Beef,total_P_Fadult_Dairy,total_P_G_Beef,total_P_G_Dairy,total_P_NG_Beef,total_P_NG_Dairy,total_P_OFbirth_Beef,total_P_OFbirth_Dairy,total_P_OJ_Beef,total_P_OJ_Dairy,total_P_YFbirth_Beef,total_P_YFbirth_Dairy,total_P_YJ_Beef,total_P_YJ_Dairy,total_P_other_Beef,total_P_other_Dairy,total_R_Fadult_Beef,total_R_Fadult_Dairy,total_R_G_Beef,total_R_G_Dairy,total_R_NG_Beef,total_R_NG_Dairy,total_R_OFbirth_Beef,total_R_OFbirth_Dairy,total_R_OJ_Beef,total_R_OJ_Dairy,total_R_YFbirth_Beef,total_R_YFbirth_Dairy,total_R_YJ_Beef,total_R_YJ_Dairy,total_R_bred_Beef,total_R_bred_Dairy,total_YFbirth_Beef,total_YFbirth_Dairy,total_YJ_Beef,total_YJ_Dairy,total_bred_Beef,total_bred_Dairy,total_herd,population_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35162412
51,0,0,0,0,51,39,0,0,11,51,0,0,0,0,0,0,1,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,35162412
52,0,0,0,0,51,38,0,1,12,52,0,0,0,0,0,0,1,51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,4,0,0,0,0,1,1,1,1,2,0,4,0,0,0,-1,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,51,0,1,0,0,0,0,0,0,4,0,0,1,0,0,38,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,52,35162412
53,0,0,0,0,52,37,0,1,13,53,0,0,0,0,0,0,1,51,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,3,3,0,0,0,0,1,2,2,2,3,0,7,0,0,0,-1,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,7,0,0,2,0,0,37,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,53,35162412
54,0,0,0,0,53,37,0,1,13,54,0,0,0,0,0,0,1,51,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,2,2,0,0,0,0,1,3,2,3,5,0,9,0,0,0,-1,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,9,0,0,3,0,0,37,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,54,35162412
55,0,0,0,1,53,36,0,2,13,54,0,1,0,0,0,0,1,51,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,5,4,0,1,0,0,2,3,3,4,5,0,14,0,0,0,-1,5,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,52,0,3,0,0,0,0,0,0,14,0,0,4,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,55,35162412
54,0,0,0,1,51,36,0,3,13,53,0,1,0,0,0,0,1,49,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,3,3,0,0,0,0,3,1,3,5,7,0,17,0,0,0,-1,7,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,0,4,0,0,0,0,0,0,17,0,0,5,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,54,35162412
55,0,0,0,1,52,36,0,3,13,54,0,1,0,0,0,0,1,49,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,2,2,0,0,0,0,3,2,3,6,7,1,18,0,1,0,-1,7,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,51,0,4,0,0,0,0,0,0,19,0,0,6,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,55,35162412
55,0,0,0,1,51,36,0,4,13,54,0,1,0,0,0,0,1,48,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,3,3,0,0,0,0,4,1,3,7,8,1,21,0,1,0,-1,8,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,50,0,5,0,0,0,0,0,0,22,0,0,7,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,55,35162412
56,0,0,0,1,51,36,0,5,13,55,0,1,0,0,0,0,1,48,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,2,2,0,0,0,0,5,1,3,8,8,1,23,0,1,0,-1,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,50,0,6,0,0,0,0,0,0,24,0,0,8,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,56,35162412
56,0,0,0,1,52,36,0,4,13,55,0,1,0,0,0,0,1,47,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,4,4,0,0,0,0,5,1,3,9,8,2,26,0,2,0,-1,8,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,50,0,6,0,0,0,0,0,0,28,0,0,9,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,0,5,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,56,35162412
55,0,0,0,1,51,36,0,4,13,54,0,1,0,0,0,0,0,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,1,1,0,0,0,0,4,1,3,10,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,5,0,0,0,0,0,0,29,0,0,10,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,7,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,55,35162412
56,0,0,0,1,51,36,0,5,13,55,0,1,0,0,0,0,0,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,0,0,0,0,0,0,5,1,3,11,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,6,0,0,0,0,0,0,29,0,0,11,1,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,7,0,0,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,56,35162412
57,0,0,0,1,52,35,0,5,14,56,0,1,0,0,0,0,0,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,0,5,2,3,11,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,6,0,0,0,0,0,0,29,0,0,12,1,0,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,7,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,57,35162412
57,0,0,0,1,52,34,0,5,15,56,0,1,0,0,0,0,0,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,0,5,2,3,11,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,6,0,0,0,0,0,0,29,0,0,13,1,0,34,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,8,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,57,35162412
58,0,0,0,1,53,33,0,5,16,57,0,1,0,0,0,0,0,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,0,0,0,5,3,3,11,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,6,0,0,0,0,0,0,29,0,0,14,1,0,33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,9,0,0,0,0,0,3,0,1,0,0,0,5,0,3,0,0,0,58,35162412
59,0,0,0,1,53,32,0,6,17,58,0,1,0,0,0,0,0,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,0,0,0,6,3,3,11,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,7,0,0,0,0,0,0,29,0,0,15,1,0,32,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,9,0,0,0,0,0,3,0,1,0,0,0,6,0,3,0,0,0,59,35162412
60,0,0,0,1,53,31,0,7,18,59,0,1,0,0,0,0,0,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,0,7,3,3,11,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8,0,0,0,0,0,0,29,0,0,16,1,0,31,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,9,0,0,0,0,0,3,0,1,0,0,0,7,0,3,0,0,0,60,35162412
61,0,0,0,1,53,31,0,8,18,60,0,1,0,0,0,0,0,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0,0,0,0,0,0,8,3,3,12,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,9,0,0,0,0,0,0,29,0,0,17,1,0,31,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,8,0,0,0,0,0,3,0,1,0,0,0,8,0,3,0,0,0,61,35162412
61,0,0,0,1,54,30,0,7,19,60,0,1,0,0,0,0,0,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0,0,0,0,0,0,7,4,3,12,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,8,0,0,0,0,0,0,29,0,0,18,1,0,30,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,8,0,0,0,0,0,3,0,1,0,0,0,7,0,4,0,0,0,61,35162412
60,0,0,0,1,53,31,0,7,18,59,0,1,0,0,0,0,0,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,0,7,3,3,14,8,2,27,0,2,0,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8,0,0,0,0,0,0,29,0,0,19,1,0,31,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,7,0,0,0,0,0,3,0,1,0,0,0,7,0,3,0,0,0,60,35162412
60,0,0,0,1,53,31,0,7,18,59,0,1,0,0,0,0,1,40,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,0,0,0,7,3,3,15,8,2,27,0,2,0,-1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8,0,0,0,0,0,0,29,0,0,20,1,0,31,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18,0,8,0,0,0,0,0,3,0,1,0,0,0,7,0,3,0,0,0,60,35162412
61,0,0,0,1,53,30,0,8,19,60,0,1,0,0,0,0,1,40,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,1,1,0,0,0,0,8,3,3,15,8,2,28,0,2,0,-1,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,9,0,0,0,0,0,0,30,0,0,21,1,0,30,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,17,0,9,0,0,0,0,0,4,0,1,0,0,0,8,0,3,0,0,0,61,35162412
